Type,Subtype,Count
rank,diamond,4337
rank,platinum,3286
rank,master,2931
rank,gold,1663
rank,grandmaster,1428
rank,top,1039
rank,bronze,715
rank,silver,434
fan,envy,343
fan,nrg,322
fan,cloud-9,255
fan,misfits,156
fan,c9,142
fan,lunatic-hai,137
fan,rogue,132
fan,liquid,82
verified,70
fan,faze,68
fan,ninjas-in-pyjamas,65
fan,nip,58
,,55
fan,fnc,49
fan,fnatic,46
fan,immortals,38
fan,clg,35
fan,reunited,32
fan,renegades,27
fan,storm,23
fan,tempo-storm,21
fan,luminosity,19
fan,freecs-blue,18
fan,complexity,16
fan,col,16
fan,method,13
fan,dig,13
fan,kongdoo-panthera,13
moderator,,12
fan,kongdoo-uncia,12
fan,rise,12
fan,dignitas,12
fan,nga,8
fan,ldlc,8
fan,luxury-watch-red,8
fan,sodi,7
fan,anox,5
fan,invictus,3
fan,lunatic hai,3
fan,freecs,2
fan,world-elite-white,2
fan,melty,2
fan,freecs-red,2
fan,vici-gaming,1
